pubid,question,context,long_answer,final_decision
25429730,Are group 2 innate lymphoid cells ( ILC2s ) increased in chronic rhinosinusitis with nasal polyps or eosinophilia?,"{'contexts': array(['Chronic rhinosinusitis (CRS) is a heterogeneous disease with an uncertain pathogenesis. Group 2 innate lymphoid cells (ILC2s) represent a recently discovered cell population which has been implicated in driving Th2 inflammation in CRS; however, their relationship with clinical disease characteristics has yet to be investigated.',
       'The aim of this study was to identify ILC2s in sinus mucosa in patients with CRS and controls and compare ILC2s across characteristics of disease.',
       'A cross-sectional study of patients with CRS undergoing endoscopic sinus surgery was conducted. Sinus mucosal biopsies were obtained during surgery and control tissue from patients undergoing pituitary tumour resection through transphenoidal approach. ILC2s were identified as CD45(+) Lin(-) CD127(+) CD4(-) CD8(-) CRTH2(CD294)(+) CD161(+) cells in single cell suspensions through flow cytometry. ILC2 frequencies, measured as a percentage of CD45(+) cells, were compared across CRS phenotype, endotype, inflammatory CRS subtype and other disease characteristics including blood eosinophils, serum IgE, asthma status and nasal symptom score.',
       '35 patients (40% female, age 48 ± 17 years) including 13 with eosinophilic CRS (eCRS), 13 with non-eCRS and 9 controls were recruited. ILC2 frequencies were associated with the presence of nasal polyps (P = 0.002) as well as high tissue eosinophilia (P = 0.004) and eosinophil-dominant CRS (P = 0.001) (Mann-Whitney U). They were also associated with increased blood eosinophilia (P = 0.005). There were no significant associations found between ILC2s and serum total IgE and allergic disease. In the CRS with nasal polyps (CRSwNP) population, ILC2s were increased in patients with co-existing asthma (P = 0.03). ILC2s were also correlated with worsening nasal symptom score in CRS (P = 0.04).'],
      dtype=object), 'labels': array(['BACKGROUND', 'OBJECTIVE', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Adult', 'Aged', 'Antigens, Surface', 'Case-Control Studies',
       'Chronic Disease', 'Eosinophilia', 'Female', 'Humans',
       'Hypersensitivity', 'Immunity, Innate', 'Immunoglobulin E',
       'Immunophenotyping', 'Leukocyte Count', 'Lymphocyte Subsets',
       'Male', 'Middle Aged', 'Nasal Mucosa', 'Nasal Polyps',
       'Neutrophil Infiltration', 'Patient Outcome Assessment',
       'Rhinitis', 'Sinusitis', 'Young Adult'], dtype=object)}","As ILC2s are elevated in patients with CRSwNP, they may drive nasal polyp formation in CRS. ILC2s are also linked with high tissue and blood eosinophilia and have a potential role in the activation and survival of eosinophils during the Th2 immune response. The association of innate lymphoid cells in CRS provides insights into its pathogenesis.",yes
25433161,Does vagus nerve contribute to the development of steatohepatitis and obesity in phosphatidylethanolamine N-methyltransferase deficient mice?,"{'contexts': array(['Phosphatidylethanolamine N-methyltransferase (PEMT), a liver enriched enzyme, is responsible for approximately one third of hepatic phosphatidylcholine biosynthesis. When fed a high-fat diet (HFD), Pemt(-/-) mice are protected from HF-induced obesity; however, they develop steatohepatitis. The vagus nerve relays signals between liver and brain that regulate peripheral adiposity and pancreas function. Here we explore a possible role of the hepatic branch of the vagus nerve in the development of diet induced obesity and steatohepatitis in Pemt(-/-) mice.',
       '8-week old Pemt(-/-) and Pemt(+/+) mice were subjected to hepatic vagotomy (HV) or capsaicin treatment, which selectively disrupts afferent nerves, and were compared to sham-operated or vehicle-treatment, respectively. After surgery, mice were fed a HFD for 10 weeks.',
       'HV abolished the protection against the HFD-induced obesity and glucose intolerance in Pemt(-/-) mice. HV normalized phospholipid content and prevented steatohepatitis in Pemt(-/-) mice. Moreover, HV increased the hepatic anti-inflammatory cytokine interleukin-10, reduced chemokine monocyte chemotactic protein-1 and the ER stress marker C/EBP homologous protein. Furthermore, HV normalized the expression of mitochondrial electron transport chain proteins and of proteins involved in fatty acid synthesis, acetyl-CoA carboxylase and fatty acid synthase in Pemt(-/-) mice. However, disruption of the hepatic afferent vagus nerve by capsaicin failed to reverse either the protection against the HFD-induced obesity or the development of HF-induced steatohepatitis in Pemt(-/-) mice.'],
      dtype=object), 'labels': array(['OBJECTIVE', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Animals', 'Chemokine CCL2', 'Diet, High-Fat',
       'Disease Models, Animal', 'Fatty Liver', 'Interleukin-10', 'Liver',
       'Mice', 'Obesity', 'Phosphatidylcholines',
       'Phosphatidylethanolamine N-Methyltransferase',
       'Postoperative Period', 'Transcription Factor CHOP', 'Vagotomy',
       'Vagus Nerve'], dtype=object)}",Neuronal signals via the hepatic vagus nerve contribute to the development of steatohepatitis and protection against obesity in HFD fed Pemt(-/-) mice.,yes
25445714,Does psammaplin A induce Sirtuin 1-dependent autophagic cell death in doxorubicin-resistant MCF-7/adr human breast cancer cells and xenografts?,"{'contexts': array(['Psammaplin A (PsA) is a natural product isolated from marine sponges, which has been demonstrated to have anticancer activity against several human cancer cell lines via the induction of cell cycle arrest and apoptosis. New drugs that are less toxic and more effective against multidrug-resistant cancers are urgently needed.',
       'We tested cell proliferation, cell cycle progression and autophagic cell death pathway in doxorubicin-resistant MCF-7 (MCF-7/adr) human breast cancer cells. The potency of PsA was further determined using an in vivo xenograft model.'],
      dtype=object), 'labels': array(['BACKGROUND', 'METHODS'], dtype=object), 'meshes': array(['Acetylation', 'Animals', 'Antibiotics, Antineoplastic',
       'Autophagy', 'Breast Neoplasms', 'Cell Division',
       'Cell Line, Tumor', 'Disulfides', 'Doxorubicin',
       'Drug Resistance, Neoplasm', 'Female', 'G2 Phase',
       'Gene Expression Regulation, Neoplastic', 'Heterografts', 'Humans',
       'Membrane Proteins', 'Mice', 'Mice, Nude',
       'Neoplasm Transplantation', 'Sirtuin 1',
       'Tumor Suppressor Protein p53', 'Tyrosine',
       'Xenograft Model Antitumor Assays'], dtype=object)}","PsA significantly inhibited MCF-7/adr cells proliferation in a concentration-dependent manner, with accumulation of cells in G2/M phase of the cell cycle. PsA significantly decreased SIRT1 enzyme activity and reduced expression of SIRT1 protein in the cultured cells with greater potency than sirtinol or salermide. Acetylation of p53, a putative target of SIRT1, increased significantly following PsA treatment. In addition, PsA markedly increased the expression levels of autophagy-related proteins. In support of this, it was found that PsA significantly increased the expression of damage-regulated autophagy modulator (DRAM), a p53-induced protein.",yes
25431941,Is methylation of the FGFR2 gene associated with high birth weight centile in humans?,"{'contexts': array(['This study examined links between DNA methylation and birth weight centile (BWC), and explored the impact of genetic variation.',
       'Using HumanMethylation450 arrays, we examined candidate gene-associated CpGs in cord blood from newborns with low (<15th centile), medium (40-60th centile) and high (>85th centile) BWC (n = 12). Candidates were examined in an investigation cohort (n = 110) using pyrosequencing and genotyping for putative methylation-associated polymorphisms performed using standard PCR.',
       'Array analysis identified 314 candidate genes associated with BWC extremes, four of which showed ≥ 4 BWC-linked CpGs. Of these, PM20D1 and MI886 suggested genetically determined methylation levels. However, methylation at three CpGs in FGFR2 remained significantly associated with high BWC (p = 0.004-0.027).'],
      dtype=object), 'labels': array(['OBJECTIVE', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array([], dtype=object)}",We identified a novel biologically plausible candidate (FGFR2) for with BWC that merits further study.,yes
25432519,Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,"{'contexts': array(['Tumor microenvironment immunity is associated with breast cancer outcome. A high lymphocytic infiltration has been associated with response to neoadjuvant chemotherapy, but the contribution to response and prognosis of immune cell subpopulations profiles in both pre-treated and post-treatment residual tumor is still unclear.',
       'We analyzed pre- and post-treatment tumor-infiltrating immune cells (CD3, CD4, CD8, CD20, CD68, Foxp3) by immunohistochemistry in a series of 121 breast cancer patients homogeneously treated with neoadjuvant chemotherapy. Immune cell profiles were analyzed and correlated with response and survival.',
       'We identified three tumor-infiltrating immune cell profiles, which were able to predict pathological complete response (pCR) to neoadjuvant chemotherapy (cluster B: 58%, versus clusters A and C: 7%). A higher infiltration by CD4 lymphocytes was the main factor explaining the occurrence of pCR, and this association was validated in six public genomic datasets. A higher chemotherapy effect on lymphocytic infiltration, including an inversion of CD4/CD8 ratio, was associated with pCR and with better prognosis. Analysis of the immune infiltrate in post-chemotherapy residual tumor identified a profile (cluster Y), mainly characterized by high CD3 and CD68 infiltration, with a worse disease free survival.'],
      dtype=object), 'labels': array(['BACKGROUND', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Adult', 'Aged', 'Anthracyclines',
       'Antibodies, Monoclonal, Humanized', 'Antigens, CD',
       'Antigens, CD20', 'Antigens, Differentiation, Myelomonocytic',
       'Antineoplastic Agents', 'Breast Neoplasms', 'CD3 Complex',
       'CD4 Antigens', 'CD8 Antigens', 'Carcinoma, Ductal, Breast',
       'Female', 'Forkhead Transcription Factors', 'Humans',
       'Lymphocytes, Tumor-Infiltrating', 'Middle Aged',
       'Neoadjuvant Therapy', 'Prognosis', 'Taxoids', 'Trastuzumab',
       'Tumor Microenvironment', 'Young Adult'], dtype=object)}","Breast cancer immune cell subpopulation profiles, determined by immunohistochemistry-based computerized analysis, identify groups of patients characterized by high response (in the pre-treatment setting) and poor prognosis (in the post-treatment setting). Further understanding of the mechanisms underlying the distribution of immune cells and their changes after chemotherapy may contribute to the development of new immune-targeted therapies for breast cancer.",yes
25440440,Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,"{'contexts': array(['Hidradenitis suppurativa (HS) is a chronic inflammatory disease involving intertriginous skin. Previous epidemiologic studies have been limited by small sample size.',
       'We sought to describe the prevalence and comorbidities of HS in a large patient care database.',
       'In this retrospective case-control study, we chart-validated all patients within a hospital database who received at least 1 billing code for HS between 1980 and 2013. Verified cases were matched with controls based on age, gender, and race. Prevalences of a priori selected comorbidities were compared between HS and control groups.',
       'A total of 2292 patients at Massachusetts General Hospital received at least 1 code for HS. A total of 1776 cases had a validated diagnosis of HS, yielding a prevalence of 0.08%. In unadjusted analysis, all comorbidities were diagnosed significantly more in HS compared with control including (in rank order of likelihood): smoking, arthropathies, dyslipidemia, polycystic ovarian syndrome, psychiatric disorders, obesity, drug dependence, hypertension, diabetes, thyroid disease, alcohol dependence, and lymphoma (all P < .01).'],
      dtype=object), 'labels': array(['BACKGROUND', 'OBJECTIVE', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Adult', 'Aged', 'Alcoholism', 'Case-Control Studies',
       'Comorbidity', 'Databases, Factual', 'Diabetes Mellitus',
       'Dyslipidemias', 'Female', 'Hidradenitis Suppurativa', 'Humans',
       'Hypertension', 'Lymphoma', 'Male', 'Middle Aged', 'Obesity',
       'Prevalence', 'Retrospective Studies', 'Smoking',
       'Substance-Related Disorders', 'Thyroid Diseases'], dtype=object)}",Control subjects were not validated for absence of HS and comorbidity validation was not performed for either group.,yes
25444977,Does reference range for serum and salivary testosterone in young men of Mediterranean region?,"{'contexts': array(['The interassay variability found in the measurement of testosterone (T) levels warrants the need for laboratories to validate their methods to establish trustworthy cut-off points for diagnosis of male hypogonadism. The aims of this study were to validate measurement of total T (TT) at our laboratory in order to obtain reference ranges for TT, calculated free T (CFT), calculated bioavailable T (CBT), and salivary T (ST) in healthy young men from the Mediterranean region, and to evaluate the potential clinical value of ST by establishing its correlation with serum T.',
       'An observational, cross-sectional study with sequential sampling.',
       'men aged 18-30 years with body mass index (BMI)<30.',
       ""chronic diseases, hepatic insufficiency or use of drugs altering circulating T levels. Main outcome measures TT (chemiluminescent immunoassay UniCell DXI 800 [Access T Beckman Coulter]), CFT and CBT (Vermeulen's formula), and ST (radioimmunoassay for serum TT modified for saliva [Coat-A-Count, Siemens]). Descriptive statistical analyses and correlation by Spearman's rho (SPSS 19.0 Inc., Chicago) were used."",
       'One hundred and twenty-one subjects aged 24±3.6 years with BMI 24±2.5 kg/m(2) were enrolled. Hormone study: TT, 19±5.5 nmol/L (reference range [rr.] 9.7-33.3); CFT, 0.38 nmol/L (rr. 0.22-0.79); CBT, 9.7 nmol/L (rr. 4.9-19.2); and ST, 0.35 nmol/L (rr. 0.19-0.68). Correlation between ST and CFT was 0.46.'],
      dtype=object), 'labels': array(['OBJECTIVE', 'METHODS', 'METHODS', 'METHODS', 'RESULTS'],
      dtype=object), 'meshes': array(['Adolescent', 'Adult', 'Body Mass Index',
       'Cross-Sectional Studies', 'Humans', 'Hypogonadism',
       'Luminescent Measurements', 'Male', 'Mediterranean Region',
       'Radioimmunoassay', 'Reference Values', 'Saliva', 'Testosterone',
       'Young Adult'], dtype=object)}","In men from the Mediterranean region, values of TT>9.7 nmol/L, CFT>0.22 nmol/L, and/or CBT>4.9 nmol/L make the presence of biochemical hypogonadism unlikely. According to the correlation between serum and ST, the clinical value of ST remains to be established.",yes
25429648,Are secretory phospholipases A2 secreted from ciliated cells and increase mucin and eicosanoid secretion from goblet cells?,"{'contexts': array(['Secretory phospholipases A2 (sPLA2) initiate the biosynthesis of eicosanoids, are increased in the airways of people with severe asthma, and induce mucin hypersecretion. We used IL-13-transformed, highly enriched goblet cells and differentiated (ciliary cell-enriched) human bronchial epithelial cell culture to evaluate the relative contribution of ciliated and goblet cells to airway sPLA2 generation and response. We wished to determine the primary source(s) of sPLA2 and leukotrienes in human airway epithelial cells.',
       'Human bronchial epithelial cells from subjects without lung disease were differentiated to a ciliated-enriched or goblet-enriched cell phenotype. Synthesis of sPLA2, cysteinyl leukotrienes (cysLTs), and airway mucin messenger RNA and protein was measured by real-time-polymerase chain reaction and an enzyme-linked immunosorbent assay, and the localization of mucin and sPLA2 to specific cells types was confirmed by confocal microscopy.',
       'sPLA2 group IIa, V, and X messenger RNA expression was increased in ciliated-enriched cells (P < .001) but not in goblet-enriched cells. sPLA2 were secreted from the apical (air) side of ciliated-enriched cells but not goblet-enriched cells (P < .001). Immunostaining of sPLA2 V was strongly positive in ciliated-enriched cells but not in goblet-enriched cells. sPLA2 released cysLTs from goblet-enriched cells but not from ciliated-enriched cells, and this result was greatest with sPLA2 V (P < .05). sPLA2 V increased goblet-enriched cell mucin secretion, which was inhibited by inhibitors of lipoxygenase or cyclooxygenase (P < .02).'],
      dtype=object), 'labels': array(['BACKGROUND', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Bronchi', 'Cell Differentiation', 'Cells, Cultured', 'Cilia',
       'Dinoprostone', 'Eicosanoids', 'Epithelial Cells', 'Goblet Cells',
       'Humans', 'Interleukin-13', 'Interleukin-8', 'Leukotrienes',
       'Mucins', 'Paracrine Communication', 'Phospholipases A2'],
      dtype=object)}","sPLA2 are secreted from ciliated cells and appear to induce mucin and cysLT secretion from goblet cells, strongly suggesting that airway goblet cells are proinflammatory effector cells.",yes
25424148,Is admission hyperglycemia associated with failed reperfusion following fibrinolytic therapy in patients with STEMI : results of a retrospective study?,"{'contexts': array(['Hyperglycemia on admission is associated with increased mortality rates in patients with ST-elevation myocardial infarction (STEMI) who are treated with either fibrinolytic therapy (FT) or primary percutaneous coronary intervention (PCI). However, data regarding the relationship between hyperglycemia and the success of FT are lacking. The aim of this study was to investigate the value of admission blood glucose for the prediction of failed reperfusion following FT.',
       'This is a retrospective study of 304 STEMI patients who received FT and whose admission glucose levels were recorded. The main outcome measure was ST segment resolution≥50%. The median (interquartile range [IQR]) blood glucose level in the entire study group was 112 (95-153). In 92 (30.2%) patients, FT was unsuccessful and rescue PCI was performed. Admission glucose (126 [99-192] vs. 110 [94-144] mg/dL, p<0.001), time from symptom onset to FT (180 [120-270] vs. 150 [120-180] min, p=0.009), and maximum ST elevation amplitude (3 [2-7] vs. 3 [2-6] mm, p=0.05) were higher in the failed reperfusion group than in the reperfusion group. Admission hyperglycemia was an independent predictive factor for failed reperfusion (hazard ratio 4.79 [1.80-12.76], p=0.002), along with time from symptom onset to fibrinolysis and anterior wall myocardial infarction.'],
      dtype=object), 'labels': array(['BACKGROUND', 'RESULTS'], dtype=object), 'meshes': array(['Adult', 'Angina Pectoris, Variant', 'Combined Modality Therapy',
       'Coronary Circulation', 'Electrocardiography', 'Female', 'Humans',
       'Hyperglycemia', 'Incidence', 'Male', 'Middle Aged',
       'Myocardial Infarction', 'Myocardial Reperfusion Injury',
       'Patient Admission', 'Percutaneous Coronary Intervention',
       'Prevalence', 'Prognosis', 'Retrospective Studies', 'Risk Factors',
       'Thrombolytic Therapy', 'Time-to-Treatment', 'Turkey'],
      dtype=object)}","In patients with STEMI who undergo FT, admission hyperglycemia is an independent predictor of the failure of fibrinolysis.",yes
25447560,Do systematic Reviews Published in Emergency Medicine Journals Routinely Search Clinical Trials Registries : A Cross-Sectional Analysis?,"{'contexts': array(['Publication bias compromises the validity of systematic reviews. This problem can be addressed in part through searching clinical trials registries to identify unpublished studies. This study aims to determine how often systematic reviews published in emergency medicine journals include clinical trials registry searches.',
       'We identified all systematic reviews published in the 6 highest-impact emergency medicine journals between January 1 and December 31, 2013. Systematic reviews that assessed the effects of an intervention were further examined to determine whether the authors described searching a clinical trials registry and whether this search identified relevant unpublished studies.',
       'Of 191 articles identified through PubMed search, 80 were confirmed to be systematic reviews. Our sample consisted of 41 systematic reviews that assessed a specific intervention. Eight of these 41 (20%) searched a clinical trials registry. For 4 of these 8 reviews, the registry search identified at least 1 relevant unpublished study.'],
      dtype=object), 'labels': array(['OBJECTIVE', 'METHODS', 'RESULTS'], dtype=object), 'meshes': array(['Clinical Trials as Topic', 'Cross-Sectional Studies',
       'Emergency Medicine', 'Humans', 'Journal Impact Factor',
       'Periodicals as Topic', 'Registries', 'Review Literature as Topic'],
      dtype=object)}","Systematic reviews published in emergency medicine journals do not routinely include searches of clinical trials registries. By helping authors identify unpublished trial data, the addition of registry searches may improve the validity of systematic reviews.",no
